stream_id,result_value,timestamp,analyte,qc_level,instrument_id,method_id,operator_id,reagent_lot,control_material_lot,calibration_status,run_id,units,flags,entry_source,comments
d86-optidist-od1-ibp,92.8,2026-01-07T08:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-001,deg C,[],manual,D86 kiosk baseline
d86-optidist-od1-ibp,93.1,2026-01-07T10:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-002,deg C,[],manual,D86 kiosk baseline
d86-optidist-od1-ibp,93.0,2026-01-07T12:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-003,deg C,[],manual,D86 kiosk baseline
d86-optidist-od1-ibp,93.4,2026-01-07T14:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-004,deg C,[],manual,D86 kiosk baseline
d86-optidist-od1-ibp,95.7,2026-01-08T08:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-005,deg C,[],manual,D86 kiosk high warning
d86-optidist-od1-ibp,96.8,2026-01-08T10:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-ibp-006,deg C,[],manual,D86 kiosk high action
d86-optidist-od1-ibp,93.2,2026-01-08T12:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-B,D86-STD-B,ok,d86-od1-ibp-007,deg C,[],manual,D86 kiosk lot B recovery
d86-optidist-od1-ibp,92.9,2026-01-08T14:00:00Z,D86 IBP,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-B,D86-STD-B,ok,d86-od1-ibp-008,deg C,[],manual,D86 kiosk lot B recovery
d86-optidist-od1-50pct,155.7,2026-01-07T08:05:00Z,D86 50% Recovered,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-50-001,deg C,[],manual,D86 kiosk baseline
d86-optidist-od1-50pct,156.1,2026-01-07T10:05:00Z,D86 50% Recovered,Distillation QC,OptiDist OD-1,ASTM D86,kiosk-tech,D86-RL-A,D86-STD-A,ok,d86-od1-50-002,deg C,[],manual,D86 kiosk baseline
