stream_id,result_value,timestamp,analyte,qc_level,instrument_id,method_id,operator_id,reagent_lot,control_material_lot,calibration_status,run_id,units,flags,entry_source,comments
demo-medical_clinical-chemmax-c8000-glucose,96.0,2026-02-09T08:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-001,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.2,2026-02-09T10:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-002,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,95.8,2026-02-09T12:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-003,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.4,2026-02-09T14:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-004,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.0,2026-02-09T16:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-005,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,95.6,2026-02-09T18:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-006,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.2,2026-02-09T20:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-007,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.4,2026-02-09T22:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-008,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,102.8,2026-02-10T00:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-009,mg/dL,[],manual,synthetic demo single high action outlier
demo-medical_clinical-chemmax-c8000-glucose,96.6,2026-02-10T02:05:00Z,Glucose,Chem L1,ChemMax C8000,Clinical Chemistry,medical_clinical-demo,MED-RG-1,MED-01-A,ok,medical_clinical-001-010,mg/dL,[],manual,synthetic demo single high action outlier
