stream_id,result_value,timestamp,analyte,qc_level,instrument_id,method_id,operator_id,reagent_lot,control_material_lot,calibration_status,run_id,units,flags,entry_source,comments
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-23T08:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-001,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-23T10:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-002,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1794,2026-02-23T12:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-003,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1812,2026-02-23T14:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-004,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-23T16:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-005,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1788,2026-02-23T18:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-006,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-23T20:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-007,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1812,2026-02-23T22:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-008,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.2004,2026-02-24T00:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-009,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1818,2026-02-24T02:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-010,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-24T04:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-011,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1794,2026-02-24T06:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-012,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-24T08:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-013,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-24T10:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-014,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1788,2026-02-24T12:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-1,STE-01-A,ok,steel_metals-001-015,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1812,2026-02-24T14:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-016,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-24T16:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-017,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-24T18:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-018,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1794,2026-02-24T20:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-019,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-24T22:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-020,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.18,2026-02-25T00:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-021,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1788,2026-02-25T02:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-022,% mass,[],manual,synthetic demo single high action outlier
demo-steel_metals-oes-spark-01-carbon,0.1806,2026-02-25T04:05:00Z,Carbon,Heat chemistry QC,OES Spark-01,OES Chemistry,steel_metals-demo,STE-RG-2,STE-01-B,ok,steel_metals-001-023,% mass,[],manual,synthetic demo single high action outlier
